tweetMentah,,
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,t.co,"/XJ70OcELlm"""
@gojekindonesia halo. saya mau tanya. uang gojek sehabis order itu nantinya akan disetor atau untuk driver sendiri ya?,,
@gojek_jkt_0715 Abang bukannya main polos? Kalau masih dapat jarak segitu berarti masih kurang Moncer tuh akun ban https://t.,,
""" @gojekindonesia Hello Gojeknya .. saya mau nanya dong, teman saya ada panggilan gojek (Go-ride) tapi sudah lama, bu https://",5 bl,m nympe
@gojekindonesia halo. saya mau tanya. uang gojek sehabis order itu nantinya akan disetor atau untuk driver sendiri ya?,co/i,"YskSEWT5M"""
@rudy173 @herrysw @gojekindonesia Note 7 nya balik apa diganti duit sama gojek? Diganti brp?,a da,erah?
@gojekindonesia nomor resinya kan udah berubah ubah. Dan tadi sore udah dibatalin lagi. Apa gunanya saya pake gojek kl dr tgl,,
"""Halo admin @gojekindonesia saya ingin merubah nomor telepon di akun gojek saya tapi saya lupa dengan pin gopaynya, https://t.",,
Malam @gojekindonesia saya driver gojek.. Apa tidak ada tindakan dari pihak gojek terkait order fiktif yang merajalela di semu,.co/,7mHYvSvo29
@gojek_jkt_0715 ga tega gw bang ama driver yg bener2,/t.c,"o/XJ70OcELlm"""
@gojekindonesia halo. saya mau tanya. uang gojek sehabis order itu nantinya akan disetor atau untuk driver sendiri ya?,,
@gojekindonesia O ini bapak gojek saya cerita kegalauannya. Karena pelanggannya yg minta anter paket blm kasih rate https://t,t.co,/rz65yokpYJ
""" @gojekindonesia Hello Gojeknya .. saya mau nanya dong, teman saya ada panggilan gojek (Go-ride) tapi sudah lama, bu  https:/",,
@gojekindonesia om bikin gojek dong om di aussie,,
@gojekindonesia min nomer resi GK-66051403 bisa mnta cari driver baru??? dari jam 11.38 barang blm dipickup trs say  https://,,
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,,
"""@herrysw Gojek kan pastinya punya data driver lengkap sama alamat, ktp, harusnya bisalah diusut @gojekindonesia""",,
@gojekindonesia Kok tampilan Gojek sekarang gini ya... Cara order gmn? https://t.co/baVz1yQDvr,://t,".co/V7tUcNmAlU"""
@gojekindonesia Gojek hanya kurang care sama mitranya...adakah yg kaya karena gojek...,/t.c,"o/20Wuicj4AJ"""
@gojekindonesia dear gojek. Please respon ya. Saya tdk bisa memakai akun saya.,co/y,"FJhWholFU"""
""" @gojekindonesia min, barusan saya ditelpon katanya dari gojek. Saya dapet 1jt bisa dimasukin ke gopay/rekening pribadi https",co/q,"6kU0xLMuW"""
""" @gojekindonesia Lalu, tlp saya matikan. Dia coba tlp berkali2. Tapi saya diamkan saja. Yg saya herankan, sms nya ada https:/",.co/,rlN6TnO24v
"""Demi fasilitas servis @gojekindonesia bisa di atur, HARGANYA nya NAUJUBILLAH. gue pake gojek kalau di stasiun aja  https://t.",,
""" @gojekindonesia saya mau mengeluhkan sikap gojek yang tidak pantas, tolong ditindaklanjuti segera krna driver ini https://t.",,
@gojekindonesia min kenapa driver gojek suka menunda2 paket antaran padahal tertulis same day @tokopedia beda sama  https://t,.co/,"M0uCiAjSNA"""
"""@gojekindonesia saya tidak dijemput dg gojek ini tp gopay saya terpotong, mohon info. Trims https://t.co/TFb1eKQ6ye""",a da,erah?
Met sore min @gojekindonesia maunnya knapa aplikasi gojek ga bisa melakukan pemesanan ya?,.co/,"M0uCiAjSNA"""
""" @gojekindonesia hi, barusan saya terima telfon dari 081238213362 yang berusaha melakukan penipuan atas nama gojek. https://t",,
Malam @gojekindonesia saya driver gojek.. Apa tidak ada tindakan dari pihak gojek terkait order fiktif yang merajalela di semu,://t,".co/V7tUcNmAlU"""
""" @gojekindonesia hi, barusan saya terima telfon dari 081238213362 yang berusaha melakukan penipuan atas nama gojek. https://t",,
"""@herrysw Gojek kan pastinya punya data driver lengkap sama alamat, ktp, harusnya bisalah diusut @gojekindonesia""",.co/,Pkn14koDMd
""" @gojekindonesia min, barusan saya ditelpon katanya dari gojek. Saya dapet 1jt bisa dimasukin ke gopay/rekening pribadi https",t.co,/XmWZl6jI7E
Sy br sj dpt tlp penipuan yg mengaku gojek dan meminta pin gopay. Pls fu! @gojekindonesia,t.co,/LJJeFacFL6
Dear @gojekindonesia saya pagi ini jam 10an baru sja isi saldo GOPAY dr bank Mandiri 300rb..tetapi sudah 1 jam knp  https://t,t.co,/aY5oe55vcI
@gojekindonesia kenapa ya sejak tanggal 2 maret 2018 saya tidak bisa order gojek setelah klik book selalu muncul bo  https://,,
